wah serial@/dev/ttyUSB0:115200
Flushing the serial port..
PRINTF: 1
PRINTF: 1
PRINTF: 2
PRINTF: 2
PRINTF: 3
PRINTF: 3
PRINTF: 4
PRINTF: 5
PRINTF: 5
PRINTF: 6
PRINTF: 6
PRINTF: 7
PRINTF: 7
PRINTF: 8
PRINTF: 8
PRINTF: 9
PRINTF: 9
PRINTF: 10
PRINTF: 10
PRINTF: 11
PRINTF: 11
PRINTF: 13
PRINTF: 12
PRINTF: 14
PRINTF: 13
PRINTF: 15
PRINTF: 14
PRINTF: 16
PRINTF: 17
PRINTF: 18
PRINTF: 19
PRINTF: 20
PRINTF: 21
PRINTF: 22
PRINTF: 23
PRINTF: 24
PRINTF: 24
PRINTF: 26
PRINTF: 27
PRINTF: 28
PRINTF: 28
PRINTF: 29

